Month,Heat Demand (100 RMB/tCO2),Cool Demand (100 RMB/tCO2),Electricity Demand (100 RMB/tCO2),Month,Heat Demand (600 RMB/tCO2),Cool Demand (600 RMB/tCO2),Electricity Demand (600 RMB/tCO2)
1,90.74369484950283,0.0010433443451164407,34.583591243581076,1,13.704519081032473,0.0010433443451164407,34.583591243581076
2,74.37983418745037,0.014555907724010565,31.40139816935111,2,-7.39595524172845,0.014555907724010565,31.40139816935111
3,22.899483140731462,0.32202528090696586,23.492432527720037,3,-18.028704887386738,0.32202528090696586,23.492432527720037
4,2.726425103845362,3.6093481584522684,25.36340402345932,4,-22.16328894633884,3.6093481584522684,25.36340402345932
5,0.15454023144157036,9.950269844181841,22.109097922780506,5,-24.010773369815887,9.950269844181841,22.109097922780506
6,0.0336794105900084,20.06050794061394,19.342236712448972,6,-32.86820016052937,20.06050794061394,19.342236712448972
7,0.0,36.726590753820446,26.00954256687575,7,-41.190921231433784,36.726590753820446,26.00954256687575
8,0.0,30.242562420141372,25.99234461926473,8,-37.53948141431811,30.242562420141372,25.99234461926473
9,0.05493281128932886,10.382169680994005,27.099595498296793,9,-25.84468776452816,10.382169680994005,27.099595498296793
10,2.989491359258222,2.5072125639268257,33.23586234470547,10,-18.643079374049453,2.5072125639268257,33.23586234470547
11,32.56800915392483,0.3787966403655647,35.88748342759516,11,-13.308222878587838,0.3787966403655647,35.88748342759516
12,73.0734982086862,0.0042879318726098715,34.5161871828003,12,6.266831233132639,0.0042879318726098715,34.5161871828003
